{'body_part': 'board', 'category': 'alphabet', 'content': 'K', 'speed': 'medium', 'trial_index': 14, 'start': 7116.986883778, 'end': 7117.012376588, 'duration_s': 0.02549280999937764, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'y', 'speed': 'medium', 'trial_index': 15, 'start': 7117.012407215, 'end': 7117.037839203, 'duration_s': 0.025431987999581906, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'm', 'speed': 'medium', 'trial_index': 16, 'start': 7117.037862862, 'end': 7117.063397737, 'duration_s': 0.02553487499972107, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'H', 'speed': 'medium', 'trial_index': 17, 'start': 7117.063422267, 'end': 7117.088717684, 'duration_s': 0.02529541700005211, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'C', 'speed': 'medium', 'trial_index': 18, 'start': 7117.088761621, 'end': 7117.114627242, 'duration_s': 0.025865620999866223, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'w', 'speed': 'medium', 'trial_index': 19, 'start': 7117.114655347, 'end': 7117.140273969, 'duration_s': 0.025618622000365576, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'V', 'speed': 'medium', 'trial_index': 20, 'start': 7117.140295361, 'end': 7117.164993631, 'duration_s': 0.024698269999134936, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'v', 'speed': 'medium', 'trial_index': 21, 'start': 7117.165014717, 'end': 7117.190773963, 'duration_s': 0.025759245999324776, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'U', 'speed': 'medium', 'trial_index': 22, 'start': 7117.190798007, 'end': 7117.21640007, 'duration_s': 0.025602063000405906, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'D', 'speed': 'medium', 'trial_index': 23, 'start': 7117.216422809, 'end': 7117.242781278, 'duration_s': 0.026358469000115292, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'O', 'speed': 'medium', 'trial_index': 24, 'start': 7117.242808467, 'end': 7117.268931329, 'duration_s': 0.02612286200019298, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'B', 'speed': 'medium', 'trial_index': 25, 'start': 7117.268952189, 'end': 7117.294914325, 'duration_s': 0.02596213600008923, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'Q', 'speed': 'medium', 'trial_index': 26, 'start': 7117.294973307, 'end': 7117.321005186, 'duration_s': 0.026031878999674518, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'd', 'speed': 'medium', 'trial_index': 27, 'start': 7117.321031153, 'end': 7117.347395677, 'duration_s': 0.026364524000200618, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'u', 'speed': 'medium', 'trial_index': 28, 'start': 7117.347420443, 'end': 7117.372396608, 'duration_s': 0.024976164999316097, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'N', 'speed': 'medium', 'trial_index': 29, 'start': 7117.372424242, 'end': 7117.397629829, 'duration_s': 0.02520558699961839, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'x', 'speed': 'medium', 'trial_index': 30, 'start': 7117.397658797, 'end': 7117.423368417, 'duration_s': 0.02570962000027066, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'i', 'speed': 'medium', 'trial_index': 31, 'start': 7117.42339251, 'end': 7117.448316278, 'duration_s': 0.02492376800000784, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 's', 'speed': 'medium', 'trial_index': 32, 'start': 7117.448340508, 'end': 7117.474177186, 'duration_s': 0.025836677999905078, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'I', 'speed': 'medium', 'trial_index': 33, 'start': 7117.474218503, 'end': 7117.500412726, 'duration_s': 0.02619422299994767, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'T', 'speed': 'medium', 'trial_index': 34, 'start': 7117.500443629, 'end': 7117.525431784, 'duration_s': 0.0249881549998463, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'o', 'speed': 'medium', 'trial_index': 35, 'start': 7117.525457353, 'end': 7117.55073342, 'duration_s': 0.025276067000049807, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'P', 'speed': 'medium', 'trial_index': 36, 'start': 7117.550757238, 'end': 7117.576666508, 'duration_s': 0.02590926999982912, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'a', 'speed': 'medium', 'trial_index': 37, 'start': 7117.576703594, 'end': 7117.603377927, 'duration_s': 0.026674333000300976, 'qualified': False}
